voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-296.8732177,28197.32985,-27900.45663,92.02837622,94.98302038,-187.0113966,1
-1517.374636,28777.96091,-27260.58628,85.82666577,100.9875598,-186.8142255,1
-2735.719782,29317.69692,-26581.97714,79.50299092,106.8485903,-186.3515812,1
-3950.17732,29815.77088,-25865.59356,73.06633798,112.5577832,-185.6241212,1
-5159.02144,30271.475,-25112.45356,66.52585377,118.1070253,-184.632879,1
-6360.534308,30684.16169,-24323.62738,59.89083268,123.4884308,-183.3792635,1
-7553.008509,31053.24451,-23500.236,53.17070345,128.6943525,-181.865056,1
-8734.749472,31378.19897,-22643.4495,46.37501573,133.7173925,-180.0924082,1
-9904.077878,31658.5633,-21754.48542,39.51342658,138.5504128,-178.0638394,1
-11059.33205,31893.93907,-20834.60702,32.59568669,143.1865453,-175.782232,1
-12198.8703,32083.99181,-19885.12151,25.63162654,147.619202,-173.2508285,1
-13321.07329,32228.45144,-18907.37815,18.63114245,151.8420837,-170.4732261,1
-14424.34631,32327.11268,-17902.76637,11.60418248,155.8491894,-167.4533719,1
-15507.12154,32379.83532,-16872.71378,4.560732341,159.634825,-164.1955573,1
-16567.8603,32386.54445,-15818.68415,-2.489198851,163.1936107,-160.7044118,1
-17605.05523,32347.23052,-14742.17529,-9.535592756,166.5204893,-156.9848966,1
-18617.23241,32261.94941,-13644.717,-16.56843606,169.6107333,-153.0422972,1
-19602.95348,32130.8223,-12527.86882,-23.57773471,172.4599511,-148.8822164,1
-20560.81769,31954.03554,-11393.21785,-30.55352811,175.0640939,-144.5105657,1
-21489.46385,31731.84034,-10242.3765,-37.48590328,177.419461,-139.9335577,1
-22387.5723,31464.55247,-9076.980166,-44.36500892,179.5227053,-135.1576964,1
-23253.86679,31152.55174,-7898.684949,-51.18106946,181.3708381,-130.1897687,1
-24087.11626,30796.28153,-6709.165268,-57.9243989,182.961233,-125.0368341,1
-24886.13662,30396.24812,-5510.111497,-64.5854146,184.29163,-119.7062154,1
-25649.79242,29953.01998,-4303.227555,-71.15465089,185.3601384,-114.2054875,1
-26376.99846,29467.22695,-3090.228492,-77.62277253,186.16524,-108.5424675,1
-27066.72134,28939.55939,-1872.838045,-83.98058796,186.7057906,-102.7252026,1
