voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-21455.09504,25847.31649,-4392.221451,-113.7392346,315.3471571,-201.6079225,1
-22097.87617,25457.65568,-3359.779506,-124.9075882,317.0351553,-192.1275671,1
-22709.25501,25031.81815,-2322.563131,-135.8984414,318.2726293,-182.3741879,1
-23288.36276,24570.40903,-1282.046266,-146.6961754,319.0578205,-172.3616451,1
-23834.37647,24074.08401,-239.7075436,-157.2854461,319.389613,-162.1041669,1
-24346.52023,23543.54841,802.9718166,-167.6512056,319.2675354,-151.6163298,1
-24824.06624,22979.55613,1844.51011,-177.7787236,318.6917612,-140.9130376,1
-25266.3359,22382.90865,2883.427253,-187.6536083,317.6631085,-130.0095002,1
-25672.70072,21754.45383,3918.246889,-197.2618269,316.1830392,-118.9212123,1
-26042.58322,21095.08474,4947.498481,-206.5897257,314.2536565,-107.6639308,1
-26375.45779,20405.73838,5969.719408,-215.6240491,311.8777021,-96.25365298,1
-26670.85139,19687.39435,6983.457036,-224.351959,309.0585525,-84.70659344,1
-26928.34425,18941.07346,7987.27079,-232.7610525,305.8002137,-73.0391612,1
-27147.57046,18167.83626,8979.734195,-240.8393798,302.1073161,-61.26793631,1
-27328.21848,17368.78158,9959.436906,-248.5754612,297.9851075,-49.40964634,1
-27470.03162,16545.0449,10924.98671,-255.9583032,293.4394458,-37.48114255,1
-27572.80833,15697.79681,11875.01151,-262.9774145,288.4767905,-25.49937601,1
-27636.40257,14828.2413,12808.16128,-269.6228205,283.1041939,-13.48137345,1
-27660.72398,13937.61404,13723.10994,-275.8850777,277.3292908,-1.444213134,1
-27645.73798,13027.18067,14618.55731,-281.7552871,271.1602876,10.59499949,1
-27591.46588,12098.23496,15493.23092,-287.2251068,264.6059507,22.61915604,1
-27497.98479,11152.097,16345.88779,-292.2867639,257.6755944,34.61116954,1
-27365.42756,10190.1113,17175.31626,-296.9330656,250.3790669,46.55399867,1
-27193.98256,9213.644888,17980.33767,-301.1574091,242.7267371,58.43067202,1
-26983.89343,8224.085386,18759.80804,-304.9537914,234.7294793,70.22431218,1
-26735.4587,7222.83901,19512.61969,-308.3168178,226.398658,81.91815976,1
-26449.03143,6211.328584,20237.70284,-311.241709,217.7461119,93.49559715,1
-26125.01863,5190.99152,20934.02711,-313.7243088,208.7841366,104.9401722,1
-25763.88075,4163.277773,21600.60298,-315.7610891,199.5254677,116.2356215,1
-25366.13099,3129.647781,22236.48321,-317.3491557,189.9832621,127.3658936,1
-24932.33457,2091.570388,22840.76419,-318.4862518,180.1710799,138.3151718,1
-24463.10794,1050.520758,23412.58718,-319.1707614,170.1028648,149.0678966,1
-23959.11789,7.978281935,23951.13961,-319.401712,159.7929242,159.6087878,1
-23421.08063,-1034.575532,24455.65616,-319.1787752,149.2559091,169.9228661,1
-22849.76073,-2075.659158,24925.41988,-318.5022679,138.5067932,179.9954747,1
-22245.97006,-3113.793158,25359.76322,-317.3731515,127.5608515,189.8123,1
-21610.56666,-4147.502288,25758.06895,-315.7930305,116.4336389,199.3593915,1
-20944.45346,-5175.317591,26119.77105,-313.7641503,105.1409678,208.6231825,1
-20248.57704,-6195.778483,26444.35553,-311.289394,93.69888554,217.5905085,1
-19523.92629,-7207.434836,26731.36113,-308.3722785,82.12365206,226.2486265,1
-18771.53097,-8208.849029,26980.38,-305.0169491,70.43171638,234.5852328,1
-17992.46028,-9198.597999,27191.05828,-301.228174,58.63969338,242.5884806,1
-17187.82132,-10175.27526,27363.09658,-297.0113371,46.76434016,250.246997,1
-16358.75752,-11137.49289,27496.25042,-292.3724309,34.82253225,257.5498986,1
-15506.44704,-12083.88354,27590.33058,-287.3180474,22.83123962,264.4868078,1
-14632.10104,-13013.10233,27645.20337,-281.8553693,10.80750256,271.0478667,1
-13736.96203,-13923.82879,27660.79082,-275.9921593,-1.231592566,277.2237518,1
-12822.30204,-14814.76873,27637.07077,-269.7367493,-13.26893753,283.0056868,1
