voltage_phase_a,voltage_phase_b,voltage_phase_c,current_phase_a,current_phase_b,current_phase_c,types
-24932.11699,2092.087534,22840.02946,-318.4958268,180.1820847,138.3137421,1
-24462.91775,1051.05826,23411.85949,-319.1806002,170.1136845,149.0669157,1
-23958.95537,8.535374747,23950.42,-319.4118006,159.8035435,159.6082571,1
-23420.946,-1033.99964,24454.94564,-319.1890993,149.2663128,169.9227864,1
-22849.65419,-2075.065284,24924.71947,-318.5128128,138.5169666,179.9958462,1
-22245.89177,-3113.182147,25359.07391,-317.3839022,127.5707802,189.813122,1
-21610.51671,-4146.875007,25757.39172,-315.8039717,116.4433087,199.3606629,1
-20944.43194,-5174.674932,26119.10687,-313.7752664,105.1503649,208.6249015,1
-20248.58397,-6195.12136,26443.70533,-311.3006694,93.70799672,217.5926726,1
-19523.96166,-7206.764182,26730.72585,-308.383697,82.13246432,226.2512327,1
-18771.59474,-8208.165797,26979.76054,-305.0284946,70.44021719,234.5882774,1
-17992.55235,-9197.90316,27190.45551,-301.2398299,58.64787066,242.5919593,1
-17187.94156,-10174.5698,27362.51136,-297.023087,46.77218229,250.2509047,1
-16358.90576,-11136.77782,27495.68358,-292.3842581,34.8300281,257.55423,1
-15506.62306,-12083.15987,27589.78293,-287.3299351,22.83837853,264.4915565,1
-14632.30461,-13012.37108,27644.67569,-281.8673005,10.81427437,271.0530261,1
-13737.19285,-13923.09101,27660.28385,-276.0041171,-1.225197461,277.2293145,1
-12822.55978,-14814.02546,27636.58524,-269.7487167,-13.26292822,283.0116449,1
-11889.70516,-15683.90837,27573.61353,-263.1099886,-25.28181163,288.3918003,1
-10939.95461,-16531.50359,27471.4582,-256.0973669,-37.26476821,293.3621351,1
-9974.657791,-17355.60663,27330.26443,-248.7208168,-49.19476951,297.9155863,1
-8995.186437,-18155.04642,27150.23285,-240.9908208,-61.05486235,302.0456831,1
-8002.932431,-18928.68688,26931.61931,-232.9183636,-72.82819289,305.7465565,1
-6999.30582,-19675.42865,26674.73447,-224.5149167,-84.49803058,309.0129473,1
-5985.732812,-20394.21055,26379.94337,-215.7924218,-96.04779195,311.8402138,1
-4963.65375,-21084.01117,26047.66492,-206.7632741,-107.4610642,314.2243383,1
-3934.521065,-21743.85025,25678.37132,-197.4403045,-118.7216283,316.1619328,1
-2899.79721,-22372.79013,25272.58734,-187.8367613,-129.8134825,317.6502439,1
-1860.952585,-22969.93706,24830.88964,-177.9662919,-140.7208647,318.6871566,1
-819.4634436,-23534.44244,24353.90589,-167.8429226,-151.4282748,319.2711974,1
223.1901997,-24065.5041,23842.3139,-157.4810394,-161.920497,319.4015364,1
1265.526678,-24562.36735,23296.84068,-146.895367,-172.1826214,319.0779883,1
2306.064773,-25024.32614,22718.26137,-136.1009482,-182.2000648,318.301013,1
3343.325824,-25450.724,22107.39817,-125.1131225,-191.958592,317.0717145,1
4375.835826,-25840.95498,21465.11915,-113.9475042,-201.4443355,315.3918397,1
5402.127526,-26194.46455,20792.33702,-102.6199603,-210.6438156,313.2637759,1
6420.742507,-26510.75035,20090.00784,-91.14658785,-219.5439593,310.6905471,1
7430.233261,-26789.36292,19359.12966,-79.54369107,-228.132119,307.67581,1
8429.165248,-27029.90635,18600.7411,-67.82775836,-236.3960905,304.2238488,1
9416.118929,-27232.0388,17815.91987,-56.0154387,-244.3241302,300.3395689,1
10389.69179,-27395.47303,17005.78124,-44.12351802,-251.9049719,296.0284899,1
11348.50033,-27519.97679,16171.47646,-32.16889542,-259.1278429,291.2967383,1
12291.18203,-27605.37316,15314.19113,-20.16855906,-265.9824791,286.1510381,1
13216.39729,-27651.54079,14435.1435,-8.139562064,-272.4591396,280.5987017,1
14122.83133,-27658.41407,13535.58274,3.90100169,-278.5486207,274.6476191,1
15009.19604,-27625.98322,12616.78717,15.93602191,-284.2422691,268.3062472,1
15874.23187,-27554.29434,11680.06247,27.94839617,-289.5319936,261.5835974,1
16716.70955,-27443.4493,10726.73975,39.92105422,-294.4102773,254.4892231,1
17535.43187,-27293.60562,9758.173746,51.83698228,-298.8701879,247.0332056,1
18329.23538,-27104.97623,8775.740846,63.67924715,-302.9053876,239.2261404,1
19096.99205,-26877.82918,7780.837138,75.43102032,-306.5101421,231.0791218,1
19837.61084,-26612.48727,6774.876434,87.07560188,-309.679329,222.6037271,1
20550.0393,-26309.32756,5759.28826,98.59644425,-312.4084446,213.8120004,1
21233.26503,-25968.78086,4735.515823,109.9771757,-314.6936107,204.716435,1
21886.31714,-25591.33109,3705.013958,121.2016235,-316.53158,195.3299565,1
22508.26758,-25177.51465,2669.247066,132.2538372,-317.9197406,185.6659034,1
23098.23255,-24727.91958,1629.687027,143.118111,-318.8561198,175.7380088,1
23655.37366,-24243.18478,587.8111146,153.7790061,-319.3393871,165.560381,1
24178.8992,-23723.99909,-454.90011,164.2213728,-319.3688556,155.1474827,1
24668.06519,-23171.1003,-1496.964897,174.430372,-318.9444834,144.5141115,1
25122.17652,-22585.27411,-2536.902414,184.391496,-318.0668737,133.6753777,1
25540.58786,-21967.353,-3573.234855,194.0905897,-316.7372736,122.6466839,1
25922.70462,-21318.21509,-4604.489533,203.51387,-314.9575725,111.4437025,1
26267.9838,-20638.78283,-5629.200979,212.6479459,-312.7302994,100.0823535,1
26575.93475,-19930.02172,-6645.913023,221.4798375,-310.0586195,88.578782,1
26846.11983,-19192.93897,-7653.180861,229.9969941,-306.9463293,76.94933518,1
27078.15511,-18428.582,-8649.573111,238.1873124,-303.3978516,65.21053915,1
27271.71084,-17638.037,-9633.673843,246.0391536,-299.4182289,53.37907538,1
27426.51199,-16822.42739,-10604.0846,253.5413596,-295.0131166,41.47175702,1
27542.33856,-15982.91219,-11559.42637,260.6832694,-290.1887744,29.50550502,1
27619.02596,-15120.6844,-12498.34156,267.4547341,-284.9520582,17.49732408,1
27656.46521,-14236.96928,-13419.49593,273.8461309,-279.3104094,5.464278495,1
27654.60311,-13333.02266,-14321.58045,279.8483775,-273.2718453,-6.576532134,1
27613.44231,-12410.12908,-15203.31323,285.4529441,-266.844947,-18.60799715,1
27533.0413,-11469.60003,-16063.44127,290.6518665,-260.0388473,-30.61301918,1
27413.51433,-10512.77205,-16900.74228,295.4377567,-252.8632183,-42.57453844,1
27255.03125,-9541.004839,-17714.02641,299.8038137,-245.3282568,-54.47555695,1
27057.81728,-8555.679343,-18502.13794,303.7438331,-237.4446704,-66.29916271,1
26822.15268,-7558.195758,-19263.95692,307.2522158,-229.2236621,-78.02855374,1
26548.37232,-6549.971564,-19998.40076,310.3239764,-220.6769144,-89.64706192,1
26236.86528,-5532.439502,-20704.42578,312.9547496,-211.8165728,-101.1381767,1
25888.07422,-4507.04554,-21381.02868,315.1407969,-202.6552283,-112.4855686,1
25502.49478,-3475.24682,-22027.24796,316.879012,-193.2058996,-123.6731124,1
25080.67491,-2438.509585,-22642.16532,318.1669246,-183.4820147,-134.6849099,1
24623.21402,-1398.307093,-23224.90693,319.0027046,-173.4973918,-145.5053128,1
24130.7622,-356.117531,-23774.64467,319.3851644,-163.2662197,-156.1189447,1
23604.01925,686.5780938,-24290.59734,319.3137603,-152.8030373,-166.510723,1
23043.73369,1728.298053,-24772.03174,318.7885939,-142.1227135,-176.6658804,1
22450.70173,2767.562007,-25218.26373,317.8104115,-131.2404255,-186.569986,1
21825.76609,3802.893104,-25628.65919,316.380603,-120.1716376,-196.2089654,1
21169.81484,4832.820081,-26002.63492,314.5012005,-108.9320793,-205.5691212,1
20483.78013,5855.879357,-26339.65949,312.1748745,-97.53772257,-214.6371519,1
19768.63685,6870.617107,-26639.25395,309.4049309,-86.00475938,-223.4001716,1
19025.40125,7875.591335,-26900.99258,306.195306,-74.34957872,-231.8457273,1
18255.12951,8869.373916,-27124.50343,302.5505609,-62.58874324,-239.9618176,1
17458.91624,9850.552632,-27309.46887,298.4758748,-50.73896573,-247.7369091,1
16637.89289,10817.73317,-27455.62606,293.9770382,-38.81708538,-255.1599528,1
15793.22618,11769.54112,-27562.76731,289.0604441,-26.84004382,-262.2204002,1
14926.11644,12704.62391,-27630.74035,283.7330793,-14.82486109,-268.9082182,1
14037.79587,13621.65274,-27659.44861,278.0025142,-2.788611423,-275.2139028,1
13129.52682,14519.32445,-27648.85127,271.8768924,9.251601013,-281.1284934,1
12202.6,15396.3634,-27598.9634,265.3649187,21.27866642,-286.6435851,1
11258.33261,16251.52328,-27509.85589,258.4758469,33.27549367,-291.7513405,1
10298.06652,17083.58886,-27381.65538,251.2194667,45.22503463,-296.4445013,1
9323.166311,17891.37772,-27214.54403,243.60609,57.11030834,-300.7163983,1
8335.017373,18673.74195,-27008.75932,235.6465356,68.91442518,-304.5609608,1
7335.023919,19429.56978,-26764.5937,227.3521147,80.62061085,-307.9727255,1
6324.606995,20157.78712,-26482.39412,218.7346139,92.21223022,-310.9468441,1
5305.202458,20857.35915,-26162.5616,209.8062793,103.672811,-313.4790902,1
4278.258938,21527.29172,-25805.55066,200.5797985,114.986067,-315.5658654,1
3245.235778,22166.63284,-25411.86862,191.0682828,126.1359215,-317.2042043,1
2207.60096,22774.47396,-24982.07492,181.2852486,137.1065299,-318.3917786,1
1166.829021,23349.9513,-24516.78032,171.2445982,147.8823025,-319.1269007,1
124.3989538,23892.24709,-24016.64604,160.9605998,158.4479263,-319.4085261,1
-918.2078911,24400.59069,-23482.3828,150.4478676,168.7883868,-319.2362545,1
-1959.509912,24874.25971,-22914.7498,139.7213408,178.8889899,-318.6103307,1
-2998.027363,25312.58105,-22314.55368,128.7962623,188.7353819,-317.5316442,1
-4032.284452,25714.93182,-21682.64737,117.6881572,198.3135705,-316.0017278,1
-5060.811445,26080.74027,-21019.92883,106.4128109,207.6099448,-314.0227557,1
-6082.146748,26409.48656,-20327.33981,94.98624609,216.611294,-311.5975401,1
